📘 Bài 1
方（かた）	người (lịch sự)
者（もの）	người
チラシ（ちらし）	tờ rơi
ホームページ（ほーむぺーじ）	trang web
学生証（がくせいしょう）	thẻ sinh viên
資格外活動許可書（しかくがいかつどうきょかしょ）	giấy phép làm thêm
面接（めんせつ）	phỏng vấn
履歴書（りれきしょ）	sơ yếu lý lịch
半年（はんとし）	nửa năm
刺身（さしみ）	sashimi
日常会話（にちじょうかいわ）	hội thoại hàng ngày
問い合わせ（といあわせ）	hỏi đáp
希望する（きぼうする）	mong muốn
募集する（ぼしゅうする）	tuyển dụng
思い出す（おもいだす）	nhớ ra
入力する（にゅうりょくする）	nhập vào
それでは	vậy thì
では	vậy thì
いらっしゃいます	đến (kính ngữ)
申します（もうします）	tôi tên là
参ります（まいります）	đến (khiêm nhường)
少々お待ちください（しょうしょうおまちください）	xin chờ một chút
お先に失礼します（おさきにしつれいします）	xin phép về trước
こちらへどうぞ	xin mời
失礼します	xin lỗi
よろしくお願いいたします	rất mong giúp đỡ
楽器（がっき）	nhạc cụ
建物（たてもの）	tòa nhà
歴史（れきし）	lịch sử
意見（いけん）	ý kiến
お年寄り（おとしより）	người già
言葉（ことば）	từ vựng
自分（じぶん）	bản thân
話（はなし）	câu chuyện
野外ライブ（やがいらいぶ）	live ngoài trời
～個（こ）	cái (đếm)
聞き取る（ききとる）	nghe hiểu
覚える（おぼえる）	nhớ
応援する（おうえんする）	cổ vũ
サイクリングする	đạp xe
遅い（おそい）	chậm
速い（はやい）	nhanh
つまらない	chán
得意（とくい）	giỏi
苦手（にがて）	kém
無理（むり）	không thể
朝早く（あさはやく）	sáng sớm
字幕（じまく）	phụ đề
大好き（だいすき）	rất thích
まず	trước tiên
📘 Bài 2
画面（がめん）	màn hình
腕時計（うでどけい）	đồng hồ
セーター	áo len
スーツケース	vali
コート	áo khoác
棚（たな）	kệ
指輪（ゆびわ）	nhẫn
サイズ	kích cỡ
数字（すうじ）	con số
ヒール	gót giày
ボタン	cúc áo
ジーンズ	quần jeans
売り場（うりば）	khu bán hàng
動く（うごく）	di chuyển
説明する（せつめいする）	giải thích
配達する（はいたつする）	giao hàng
重い（おもい）	nặng
軽い（かるい）	nhẹ
ちょうどいい	vừa
丈夫（じょうぶ）	bền
もっと	hơn
ちょっと	một chút
いかがですか	như thế nào
かしこまりました	tôi hiểu rồi
壁（かべ）	tường
カレンダー	lịch
世界地図（せかいちず）	bản đồ thế giới
最新（さいしん）	mới nhất
飲み放題（のみほうだい）	uống thoải mái
期間限定（きかんげんてい）	giới hạn thời gian
セット	bộ
フロアガイド	sơ đồ tầng
意味（いみ）	ý nghĩa
営業中（えいぎょうちゅう）	đang mở cửa
大盛り（おおもり）	phần lớn
おかわり	thêm
送料（そうりょう）	phí ship
タイムサービス	khuyến mãi giờ
定休日（ていきゅうび）	ngày nghỉ
本日（ほんじつ）	hôm nay
半額（はんがく）	giảm nửa
レディースデー	ngày phụ nữ
量（りょう）	lượng
親子丼（おやこどん）	cơm gà trứng
牛丼（ぎゅうどん）	cơm bò
サンドイッチ	sandwich
ソース	nước sốt
注文する（ちゅうもんする）	gọi món
割引する（わりびきする）	giảm giá
両替する（りょうがえする）	đổi tiền
得（とく）	lợi
特別（とくべつ）	đặc biệt
どういう	như thế nào
もう	thêm
📘 Bài 3
給料（きゅうりょう）	lương
サークル	clb
説明会（せつめいかい）	buổi giới thiệu
専門学校（せんもんがっこう）	trường chuyên môn
見学会（けんがくかい）	tham quan
学部（がくぶ）	khoa
経済（けいざい）	kinh tế
法律（ほうりつ）	luật
カナダ	Canada
聴解（ちょうかい）	nghe hiểu
アクセサリー	trang sức
一生懸命（いっしょうけんめい）	chăm chỉ
答え（こたえ）	câu trả lời
試験（しけん）	kỳ thi
将来（しょうらい）	tương lai
ビジネス	kinh doanh
日本語能力試験（にほんごのうりょくしけん）	JLPT
間違い（まちがい）	sai
寮（りょう）	ký túc xá
目標（もくひょう）	mục tiêu
翻訳する（ほんやくする）	dịch
調べる（しらべる）	tìm hiểu
見学する（けんがくする）	tham quan
相談する（そうだんする）	thảo luận
貯金する（ちょきんする）	tiết kiệm
留学する（りゅうがくする）	du học
開く（ひらく）	mở
続ける（つづける）	tiếp tục
やめる	bỏ
受ける（うける）	nhận
案内する（あんないする）	hướng dẫn
進学する（しんがくする）	học lên
通学する（つうがくする）	đi học
選ぶ（えらぶ）	chọn
迷う（まよう）	do dự
考える（かんがえる）	suy nghĩ
決める（きめる）	quyết định
合格する（ごうかくする）	đậu
専攻する（せんこうする）	chuyên ngành
悩む（なやむ）	băn khoăn
就職する（しゅうしょくする）	đi làm
確認する（かくにんする）	xác nhận
正しい（ただしい）	đúng
夢（ゆめ）	giấc mơ
📘 Bài 4
美容院（びよういん）	tiệm làm tóc
空港（くうこう）	sân bay
歯科（しか）	nha khoa
市民（しみん）	công dân
三味線（しゃみせん）	đàn shamisen
種類（しゅるい）	loại
水道（すいどう）	nước máy
てんぷら	tempura
不動産（ふどうさん）	bất động sản
交流会（こうりゅうかい）	buổi giao lưu
小学校（しょうがっこう）	tiểu học
市役所（しやくしょ）	ủy ban thành phố
情報（じょうほう）	thông tin
タオル	khăn
茶道（さどう）	trà đạo
センター	trung tâm
かかる	tốn (thời gian/tiền)
質問する（しつもんする）	hỏi
カットする	cắt
紹介する（しょうかいする）	giới thiệu
修理する（しゅうりする）	sửa chữa
知らせる（しらせる）	thông báo
止まる（とまる）	dừng
出る（でる）	ra
着く（つく）	đến
利用する（りようする）	sử dụng
必要（ひつよう）	cần thiết
大使館（たいしかん）	đại sứ quán
メートル	mét
次（つぎ）	tiếp theo
坂（さか）	dốc
上る（のぼる）	lên
下りる（おりる）	xuống
駐車する（ちゅうしゃする）	đỗ xe
📘 Bài 5
池（いけ）	ao
階段（かいだん）	cầu thang
切符（きっぷ）	vé
線路（せんろ）	đường ray
定期券（ていきけん）	vé tháng
